dep_code,dep_nom,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
80,SOMME,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,20,18,17,18,19,19,19,18,18,18,18,17,17,17,17,17,16,16,17,17,17,17,18,19,18,19,19,19,19,19,19
81,TARN,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,14,13,12,12,12,13,13,13,14,14,14,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,13,13,13,13
82,TARN-ET-GARONNE,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,8,9,10,10,11,11,12,12,12,12,12,12,12,12,12,11
83,VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,40,42,39,40,42,44,45,44,43,44,42,44,42,41,42,41,43,45,44,40,43,44,46,42,43,43,41,40,39,39,42,42,44
84,VAUCLUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,20,21,22,20,20,19,19,19,20,19,20,19,19,18,19,19,19,19,19,20,20,22,21,21,21,21,21,22,22,22,23
85,VENDEE,,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,29,29,30,29,29,29,29,29,30,31,31,29,28,28,28,28,28,28,29,29,29,28,28,27,27,27,28,26,26,24,25
86,VIENNE,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,17,17,18,19,19,18,19,19,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17
87,HAUTE-VIENNE,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,10,10,10,10,10,10,11,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
88,VOSGES,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,18,17,18,17,17,17,17,17,16,17,17,16,16,16,16,16,16,16,16,15,16,16,16,16,16,15,16,16,16,16,14
89,YONNE,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,9,11,9,10,10,12,11,11,11,9,8,8,8,8,8,8,8,8,8,8,8,7,7,8,7,7,8,9,9,8,9
90,TERRITOIRE DE BELFORT,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3
91,ESSONNE,,,,,,,,,,,,,,,,,,,,,,,,,,,29,30,30,31,32,32,32,32,32,33,33,33,33,33,32,32,33,31,29,30,31,31,31,31,30,32,31,32,33,32,32,33,32
92,HAUTS-DE-SEINE,,,,,,,,,,,,,,,,,,,,,,,,,,,36,37,37,36,37,37,39,38,39,39,39,39,39,38,38,38,39,39,38,39,39,40,41,42,42,41,41,41,42,40,43,42,43
93,SEINE-SAINT-DENIS,,,,,,,,,,,,,,,,,,,,,,,,,,,27,28,28,31,31,31,31,32,31,31,32,31,30,30,31,30,32,30,30,30,30,30,30,30,30,30,30,31,30,30,30,31,31
94,VAL-DE-MARNE,,,,,,,,,,,,,,,,,,,,,,,,,,,33,34,34,34,35,34,33,32,34,36,36,36,34,34,33,33,33,33,34,34,36,35,33,33,35,35,36,35,37,38,38,38,38
95,VAL-D'OISE,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,20,23,23,23,23,23,22,23,22,22,23,22,22,23,23,24,24,24,24,23,23,24,26,28,27,28,28,27,29,29,29
,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 140,2 110,2 106,2 119,2 141,2 142,2 146,2 173,2 160,2 152,2 143,2 129,2 101,2 080,2 066,2 056,2 072,2 073,2 050,2 034,2 035,2 027,2 020,2 033,2 044,2 046,2 040,2 045,2 041,2 030,2 061,2 058,2 053
